#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=900 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:63 out:63 type:P dur:2 cpbdur:2 q:54.54 aq:48.05 tex:40093 mv:21120 misc:4395 imb:2721 pmb:926 smb:4513 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:54.93 aq:50.00 tex:31104 mv:20416 misc:4232 imb:2748 pmb:925 smb:4487 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:55.00 aq:49.86 tex:35459 mv:22300 misc:4193 imb:3069 pmb:991 smb:4100 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:54.94 aq:49.16 tex:42073 mv:24605 misc:4234 imb:3591 pmb:1026 smb:3543 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:54.91 aq:48.90 tex:35996 mv:25061 misc:4391 imb:3361 pmb:1220 smb:3579 d:- ref:0 ;
in:69 out:68 type:P dur:2 cpbdur:2 q:55.13 aq:48.06 tex:45959 mv:28762 misc:4343 imb:4309 pmb:1068 smb:2783 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:55.02 aq:52.99 tex:10646 mv:20372 misc:4838 imb:964 pmb:1231 smb:5965 d:- ref:0 ;
in:71 out:70 type:P dur:2 cpbdur:2 q:55.29 aq:47.60 tex:45323 mv:28062 misc:4239 imb:3738 pmb:1095 smb:3327 d:- ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:55.21 aq:52.79 tex:8110 mv:18346 misc:4776 imb:570 pmb:1315 smb:6275 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:55.24 aq:48.20 tex:32260 mv:21196 misc:4680 imb:1975 pmb:1257 smb:4928 d:- ref:0 ;
in:74 out:73 type:P dur:2 cpbdur:2 q:55.49 aq:48.40 tex:49501 mv:27247 misc:5500 imb:2787 pmb:1370 smb:4003 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:55.36 aq:49.78 tex:5927 mv:13242 misc:4639 imb:266 pmb:1168 smb:6726 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:55.81 aq:49.02 tex:31401 mv:19963 misc:5740 imb:1764 pmb:1207 smb:5189 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:55.82 aq:49.30 tex:31189 mv:20133 misc:5830 imb:1705 pmb:1216 smb:5239 d:- ref:0 ;
in:78 out:77 type:P dur:2 cpbdur:2 q:55.79 aq:48.36 tex:43484 mv:31082 misc:5762 imb:3270 pmb:1556 smb:3334 d:- ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:55.81 aq:53.64 tex:5027 mv:12522 misc:4467 imb:237 pmb:1159 smb:6764 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:55.82 aq:48.92 tex:17334 mv:18068 misc:5846 imb:937 pmb:1489 smb:5734 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:55.78 aq:49.42 tex:26383 mv:20741 misc:5572 imb:1072 pmb:1728 smb:5360 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:55.82 aq:48.66 tex:21207 mv:20230 misc:6011 imb:994 pmb:1696 smb:5470 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:55.79 aq:51.02 tex:17544 mv:16572 misc:5484 imb:693 pmb:1568 smb:5899 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:55.79 aq:48.78 tex:12777 mv:14984 misc:5847 imb:654 pmb:1354 smb:6152 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:55.85 aq:49.23 tex:19482 mv:16037 misc:5737 imb:690 pmb:1592 smb:5878 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:56.05 aq:51.00 tex:16789 mv:15329 misc:5354 imb:804 pmb:1311 smb:6045 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:56.26 aq:49.71 tex:18378 mv:15469 misc:5649 imb:870 pmb:1309 smb:5981 d:- ref:0 w:0,1,-1,7,125,3,125,3 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:56.51 aq:47.85 tex:12219 mv:13216 misc:5309 imb:743 pmb:1032 smb:6385 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:56.68 aq:51.50 tex:7260 mv:10884 misc:4720 imb:492 pmb:936 smb:6732 d:- ref:0 ;
